,a,b,c,d,e,f,g,h,i,j
0,7.0,8,1.0,0,,5,1.0,1,5,0
1,9.0,2,4.0,1,,2,2.0,2,9,4
2,0.0,1,0.0,1,8.0,7,0.0,4,9,7
3,,5,1.0,4,4.0,4,1.0,1,2,0
4,9.0,2,9.0,0,,9,,0,7,4
5,9.0,4,0.0,5,0.0,6,5.0,9,8,8
6,9.0,5,4.0,1,4.0,0,8.0,8,7,0
7,8.0,4,2.0,4,0.0,4,2.0,0,6,1
8,6.0,5,8.0,2,9.0,9,3.0,7,0,4
9,4.0,1,,2,7.0,7,4.0,7,6,0
10,,7,5.0,8,7.0,7,9.0,0,8,3
11,7.0,7,9.0,5,5.0,8,5.0,8,8,9
12,5.0,0,1.0,4,3.0,2,9.0,5,4,4
13,0.0,2,1.0,0,2.0,1,4.0,8,9,7
14,7.0,7,0.0,6,5.0,8,,4,9,8
15,1.0,3,6.0,4,6.0,0,,3,4,6
16,8.0,5,1.0,8,0.0,8,7.0,6,4,3
17,0.0,2,4.0,6,1.0,3,5.0,5,2,1
18,0.0,6,6.0,0,5.0,5,4.0,4,6,1
19,2.0,7,6.0,7,0.0,2,8.0,2,6,0
20,6.0,5,8.0,3,7.0,7,,3,7,9
21,6.0,3,6.0,3,2.0,4,5.0,2,8,4
22,3.0,2,3.0,7,6.0,5,,0,3,0
23,8.0,9,4.0,7,0.0,1,5.0,5,5,2
24,8.0,0,0.0,2,8.0,5,,0,9,2
25,9.0,9,0.0,8,9.0,7,,0,1,6
26,,5,0.0,8,,1,,9,4,5
27,,9,6.0,2,,5,2.0,6,1,7
28,8.0,7,9.0,4,5.0,7,2.0,0,6,7
29,7.0,1,8.0,6,4.0,1,4.0,0,1,3
30,0.0,7,0.0,4,1.0,5,,5,1,8
31,6.0,2,7.0,5,2.0,2,3.0,1,5,0
32,6.0,8,3.0,0,5.0,9,7.0,7,0,0
33,6.0,4,9.0,4,6.0,3,9.0,3,9,2
34,2.0,8,3.0,4,9.0,1,,8,3,2
35,0.0,0,6.0,7,9.0,3,,9,7,7
36,3.0,8,9.0,1,4.0,4,6.0,8,9,0
37,,7,5.0,0,3.0,8,1.0,3,0,8
38,3.0,5,,8,5.0,3,7.0,5,2,0
